date,area_type,avg_d_kbps,avg_u_kbps,log_light_intensity
2020-10-10,emerging,10187.0,3022.0,0.039220713153281295
2020-10-11,emerging,94643.0,40091.0,0.0295588022415444
2020-10-12,emerging,92756.0,32073.0,0.048790164169432
2020-10-13,emerging,22460.0,6154.666666666667,0.026306743926422838
2020-10-14,emerging,21867.0,3725.0,0.0295588022415444
2020-10-15,emerging,2006.0,1904.0,0.048790164169432
2020-10-16,emerging,14172.0,3161.0,0.0295588022415444
2020-10-19,emerging,22582.0,4711.0,0.05826890812397577
2020-10-24,emerging,10699.0,2102.0,0.0295588022415444
2020-10-26,emerging,44314.5,39726.0,0.014876479074673897
2020-10-28,emerging,48641.0,9911.0,0.039220713153281295
2020-10-29,emerging,10554.0,2116.0,0.0295588022415444
2020-11-03,emerging,3931.5,768.5,0.04874481063862853
2020-11-04,emerging,15237.0,3340.0,0.03581331737680838
2020-11-07,emerging,17442.0,7412.0,0.06765864847381481
2020-11-08,emerging,12401.5,2639.5,0.048790164169432
2020-11-09,emerging,8169.0,1969.5,0.06765864847381481
2020-11-10,emerging,366.0,225.0,
2020-11-12,emerging,16447.0,4000.0,0.05826890812397577
2020-11-14,emerging,19445.0,14430.25,0.06452873502386847
2020-11-15,emerging,33894.0,37583.0,
2020-11-17,emerging,14185.5,2201.5,0.039220713153281295
2020-11-18,emerging,9160.0,2789.0,0.048790164169432
2020-11-19,emerging,24662.0,7053.0,0.03429639573280586
2020-11-20,emerging,22685.0,4207.0,0.06765864847381481
2020-11-21,emerging,16261.0,3213.5,0.05826890812397577
2020-11-22,emerging,11027.0,2092.0,0.0295588022415444
2020-11-23,emerging,7257.0,1874.0,0.05826890812397577
2020-11-26,emerging,7750.0,10803.0,0.06765864847381481
2020-11-27,emerging,26955.5,22077.0,0.04860872535767961
2020-11-28,emerging,14589.333333333334,4333.333333333333,0.04373063788499726
2020-11-29,emerging,23673.5,8264.5,0.03880448966349145
2020-11-30,emerging,9121.666666666666,2823.3333333333335,0.035876779220566625
2020-12-02,emerging,14176.5,9821.75,0.045292629150319556
2020-12-03,emerging,4927.0,372.0,
2020-12-04,emerging,13082.5,5559.5,0.044005438661356644
2020-12-05,emerging,12864.0,5378.5,0.03410961948857193
2020-12-06,emerging,13377.0,10687.333333333334,0.04874481063862853
2020-12-07,emerging,14750.0,11031.0,
2020-12-08,emerging,31513.0,14194.0,
2020-12-09,emerging,18635.333333333332,9994.0,0.019802627296179712
2020-12-10,emerging,19237.0,13893.5,0.009950330853168083
2020-12-11,emerging,21730.5,10313.0,
2020-12-12,emerging,12764.333333333334,3763.0,0.04860872535767961
2020-12-13,emerging,19250.5,4580.0,0.048790164169432
2020-12-14,emerging,35237.0,22497.0,0.019802627296179712
2020-12-15,emerging,24889.5,5808.5,
2020-12-16,emerging,7425.5,1537.5,0.039220713153281295
2020-12-17,emerging,4865.5,10908.0,0.039220713153281295
2020-12-18,emerging,17275.666666666668,5985.0,0.05352953614670389
2020-12-19,emerging,8498.666666666666,1268.0,0.05352953614670389
2020-12-20,emerging,11792.0,8795.0,
2020-12-21,emerging,10568.0,2119.0,0.06765864847381481
2020-12-23,emerging,17089.0,4210.0,0.0295588022415444
